product_id,product_url
279257861,https://tiki.vn/new-coc-giu-nhiet-inox-304-elmich-el8345-dung-tich-480ml-ha-ng-chi-nh-ha-ng-p279257861.html?spid=279257867
279230606,https://tiki.vn/mieng-bot-bien-lau-bui-moi-ngoc-ngach-damp-duster-mieng-xop-lau-chui-da-nang-p279230606.html?spid=279230608
279116145,https://tiki.vn/1-goi-diet-chuot-dang-vien-hop-tri-storm-0-005-goi-20-vien-p279116145.html?spid=279116146
278731507,https://tiki.vn/noi-phu-su-chong-dinh-elmich-olive-classic-el5533ov-size-16-18-20cm-hang-chinh-hang-p278731507.html?spid=278731513
278450191,https://tiki.vn/binh-giu-nhiet-locknlock-bucket-one-touch-lhc3345-co-quai-dung-tich-550ml-thep-khong-gi-3-mau-p278450191.html?spid=278450193
277835689,https://tiki.vn/noi-phu-su-chong-dinh-elmich-olive-classic-el5535ov-hang-chinh-hang-p277835689.html?spid=277835693
277821906,https://tiki.vn/hop-com-2-tang-inox-304-elmich-el8381-dung-tich-1-3l-hang-chinh-hang-p277821906.html?spid=277821910
277776638,https://tiki.vn/chao-chong-dinh-elmich-el5972-p277776638.html?spid=277776836
277740559,https://tiki.vn/binh-giu-nhiet-inox-304-elmich-el8382-dung-tich-810ml-p277740559.html?spid=277740564
277585447,https://tiki.vn/chao-inox-304-da-lop-cao-cap-sunhouse-in20-24-26m6e-3-lop-nguyen-khoi-can-rong-han-che-bong-p277585447.html?spid=277597860
276120162,https://tiki.vn/binh-giu-nhiet-metro-cafe-tumbler-locknlock-lhc4359-dung-tich-650ml-p276120162.html?spid=276125656
276018795,https://tiki.vn/hop-dung-thuc-pham-bang-thep-khong-gi-locknlock-color-coated-sts-container-nhieu-dung-tich-p276018795.html?spid=276020518
276018790,https://tiki.vn/ly-nhua-2-lop-locknlock-hap538-spring-double-wall-cold-cup-dung-tich-890ml-kem-ong-hut-p276018790.html?spid=276021005
275929238,https://tiki.vn/binh-nuoc-thuy-tinh-elmich-el-8350t052-dung-tich-520ml-p275929238.html?spid=275929239
275189108,https://tiki.vn/coc-giu-nhiet-inox-304-elmich-el8345-dung-tich-480ml-ha-ng-chi-nh-ha-ng-p275189108.html?spid=275374646
275058873,https://tiki.vn/binh-giu-nhiet-metro-cafe-tumbler-lhc4357-locknlock-dung-tich-500ml-phu-su-p275058873.html?spid=275059035
274682235,https://tiki.vn/khan-lau-bep-2-mat-da-nang-day-dan-sieu-tham-lau-bat-dia-ban-ghe-khan-lau-2-mat-sieu-tham-khan-lau-khong-phai-mau-nhanh-kho-khan-lau-bep-khan-lau-kinh-lau-bat-da-nang-p274682235.html?spid=274682237
274631177,https://tiki.vn/khan-lau-tay-co-moc-treo-dung-trong-nha-bep-khan-lau-tay-bep-vai-cotton-mem-mai-sieu-tham-hut-da-nang-giao-mau-ngau-nhien-p274631177.html?spid=274631178
274371421,https://tiki.vn/nhang-sach-lien-tam-29cm-hop-60-cay-it-khoi-nhang-sen-100-tu-thien-nhien-tram-huong-nguyen-chat-khuynh-diep-sa-chanh-p274371421.html?spid=274371431
273805270,https://tiki.vn/ban-hoc-gap-gon-co-khe-cam-dien-thoai-may-tinh-bang-chan-sat-giao-mau-ngau-nhien-p273805270.html?spid=273805271
273744600,https://tiki.vn/khan-bong-lau-bep-lau-chen-bat-hinh-ke-soc-khan-ve-sinh-2-mat-sieu-tham-hut-khan-lau-da-nang-nha-bep-22x22-cm-soc-van-giao-mau-ngau-nhien-p273744600.html?spid=273744601
273661002,https://tiki.vn/binh-giu-nhiet-inox-316-elmich-el8315-dung-tich-480ml-hang-chinh-hang-p273661002.html?spid=274054633
